encoder,seed,split,subset_accuracy,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,auc_micro,auc_macro,pr_auc_micro,pr_auc_macro,brier_macro,ece_macro
bit50,45,validation,0.0079575596816976,0.0763661202185792,0.695273631840796,0.1376169374692269,0.067364444678621,0.6726481134987403,0.1171311086481182,0.7100307988484929,0.7115028241833863,0.0842638652266658,0.1211331689391274,0.2130532660937104,0.3606950003004587
bit50,45,test,0.0066666666666666,0.0785502559956884,0.726027397260274,0.1417629179331307,0.0711849248053557,0.6956068869649029,0.1236212282801386,0.7112459121887948,0.709805783391385,0.0825331177269152,0.1161157625936325,0.2155370471764873,0.362148212758132
bit50,46,train,0.0,0.0729796072507553,0.6159362549800796,0.1304971722799021,0.0829817674529397,0.6866793872419135,0.1252507867548128,0.6986286962026391,0.745724504248974,0.0812752866208835,0.1204779948621508,0.204366040917506,0.3666183965403104
bit50,46,validation,0.0,0.0706058339566192,0.5870646766169154,0.1260515422619842,0.081506819697601,0.636154896902083,0.1177648133960409,0.6805397262826949,0.7063593005503748,0.0754641875513785,0.117129280992431,0.2039177668325784,0.3658010105337127
bit50,46,test,0.0,0.0698901098901099,0.5940224159402242,0.1250655479811221,0.0781136858780451,0.6368664781293046,0.1186905794022122,0.6820519891105963,0.7085833677388694,0.0725522506597945,0.1042741612549513,0.2055014012650021,0.3663744262549033
bit50,47,train,0.0073675262113913,0.069605355669,0.6047808764940239,0.12484237074401,0.0712201931550718,0.6797854186476967,0.1183360777323846,0.6840643220786442,0.7427311487727427,0.0785554551752836,0.1156717504975807,0.2214614819781135,0.3886241724089959
bit50,47,validation,0.0092838196286472,0.065770453888407,0.5659203980099502,0.1178451178451178,0.0653048069881452,0.6122477104873295,0.108741917430691,0.6580819856166359,0.6915372995408995,0.0719065408181061,0.1137511127404233,0.2206152460183564,0.3863646116861469
bit50,47,test,0.012,0.0683992574610881,0.5965130759651308,0.1227261081219574,0.067611743648309,0.646758225830203,0.1128327251762203,0.6695498736038956,0.7064889233883065,0.0720822224665753,0.1075278286292092,0.2222931765550738,0.3879290697292859
bit50,48,train,0.0008500991782374,0.0765228810991009,0.8047808764940239,0.1397569244251747,0.0707486583607809,0.8447027079746441,0.1247677276250851,0.7274399772447033,0.7819171035676749,0.0938887034409022,0.1425078135103605,0.2380766183741642,0.3994552292557635
bit50,48,validation,0.0,0.0719287833827893,0.753731343283582,0.1313251706577094,0.0644737001179778,0.7475408408697577,0.1130744290991497,0.6918641580968041,0.7173885541500015,0.0843624110283184,0.1369991219836187,0.2390430653220859,0.3990082395133848
bit50,48,test,0.0,0.072024803243501,0.7521793275217933,0.1314615300903253,0.0654724230740691,0.7354878224549047,0.1146073169284058,0.6933035704063183,0.7185487567101825,0.0801990091529128,0.1180442633314105,0.239628000696292,0.3983679687809836
bit50,49,train,0.0048172286766789,0.0652429351976969,0.5899070385126162,0.1174914698336287,0.0701196826023016,0.7165813081687638,0.1139924427458438,0.661560450124673,0.7406263548752102,0.0747464366183746,0.1176521398520658,0.2257285839900875,0.398302711907581
bit50,49,validation,0.0053050397877984,0.0609243697478991,0.5410447761194029,0.1095166163141994,0.0653375521450193,0.6517308770826838,0.1061729777690685,0.6383086851567277,0.69784514087073,0.0665996731503972,0.1150548769883827,0.2254334810535105,0.3967867765378512
bit50,49,test,0.008,0.0635248725368609,0.5740971357409713,0.1143920595533498,0.0670156758848923,0.659798680726993,0.1087356049329738,0.6440805260209579,0.6970044058243723,0.0679041534926152,0.1094866693879026,0.2267431038175184,0.3978766493040323
bit50,50,train,0.0121847548880702,0.0789826336660741,0.7670650730411687,0.1432184478056037,0.075245214763854,0.7927272147829041,0.1311725687205286,0.7330491264085659,0.7691487382658525,0.0912826067213367,0.1310299743201504,0.2253589622036199,0.3931118010282033
bit50,50,validation,0.0092838196286472,0.074398249452954,0.7189054726368159,0.1348419456432987,0.0700798091425404,0.6966869265420417,0.1213585519851942,0.7049406422944571,0.7124312719768888,0.0790691438542803,0.1175537855607388,0.2257906671090577,0.3921232075493694
bit50,50,test,0.0066666666666666,0.0766927083333333,0.7334993773349938,0.1388659672285748,0.0725002559947873,0.7191644928169532,0.1254724829940743,0.7118252088739772,0.7181709981135243,0.0816323947385269,0.1157106833857676,0.225856623413976,0.3920860782238716
bit50,51,train,0.0070841598186455,0.0594795539033457,0.5184594953519256,0.1067162343164858,0.069815272264451,0.6949910726612394,0.1060245562399364,0.6560597424022436,0.7559221035418571,0.073534674713287,0.1251893868382902,0.2260165607044613,0.397658515594716
bit50,51,validation,0.0039787798408488,0.0565574953109219,0.4875621890547263,0.1013574660633484,0.0685406907090497,0.6233130717125855,0.100331469320657,0.6278756320911237,0.7028167421958836,0.0630337732583609,0.1159533784064506,0.2266572431742777,0.397899979611004
bit50,51,test,0.0026666666666666,0.0569221967963386,0.4956413449564134,0.1021167415009621,0.0678958681782171,0.6504803064713461,0.1009643034482083,0.6402625872041525,0.7154319936724677,0.0676725335370985,0.1142481787143426,0.2270252215227811,0.3979858929449816
