split,aggregation,label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
validation,probability_ensemble,Stasis Dermatitis,0.5,10,745,9,41,704,1,0.9,0.9449664429530201,0.9224832214765101,0.18,0.9,0.3,0.9742281879194631,0.4146750154607297,0.04283463752068616,0.10274789575043297
validation,probability_ensemble,Keratosis Pilaris,0.5,9,746,5,51,695,4,0.5555555555555556,0.9316353887399463,0.7435954721477509,0.08928571428571429,0.5555555555555556,0.15384615384615385,0.8308013106940721,0.10695742264369716,0.050159943610614204,0.11247047868462443
validation,probability_ensemble,CD - Contact Dermatitis,0.5,10,745,1,78,667,9,0.1,0.8953020134228188,0.4976510067114094,0.012658227848101266,0.1,0.02247191011235955,0.8071140939597315,0.0645796057446413,0.09134678384267252,0.21958539017439133
validation,probability_ensemble,Scabies,0.5,10,745,5,50,695,5,0.5,0.9328859060402684,0.7164429530201342,0.09090909090909091,0.5,0.15384615384615385,0.8319463087248322,0.16974080774047584,0.05810851714140565,0.13657487581766187
test,probability_ensemble,Eczema,0.5,158,597,150,380,217,8,0.9493670886075949,0.36348408710217756,0.6564255878548862,0.2830188679245283,0.9493670886075949,0.436046511627907,0.750842821703454,0.42057110788491237,0.2660712651135772,0.34656765907016024
test,probability_ensemble,Allergic Contact Dermatitis,0.5,131,624,115,347,277,16,0.8778625954198473,0.4439102564102564,0.6608864259150519,0.24891774891774893,0.8778625954198473,0.38785834738617203,0.7309037972205912,0.35791413026016156,0.2585789589581203,0.3551376474377336
test,probability_ensemble,Insect Bite,0.5,60,695,51,209,486,9,0.85,0.6992805755395683,0.7746402877697842,0.19615384615384615,0.85,0.31875,0.8563069544364508,0.36309059278920497,0.18420328794523727,0.32870621335057426
test,probability_ensemble,Urticaria,0.5,50,705,41,157,548,9,0.82,0.7773049645390071,0.7986524822695036,0.20707070707070707,0.82,0.33064516129032256,0.8757446808510638,0.4026094425666245,0.15479789313818226,0.28559965545336247
test,probability_ensemble,Psoriasis,0.5,46,709,30,141,568,16,0.6521739130434783,0.8011283497884344,0.7266511314159563,0.17543859649122806,0.6521739130434783,0.2764976958525346,0.7936775617832832,0.24241371574373644,0.14767809627357883,0.27020875116625176
test,probability_ensemble,Folliculitis,0.5,40,715,33,130,585,7,0.825,0.8181818181818182,0.821590909090909,0.20245398773006135,0.825,0.3251231527093596,0.8832867132867133,0.45118712682081774,0.1258668594761104,0.24195004577915002
test,probability_ensemble,Irritant Contact Dermatitis,0.5,37,718,26,192,526,11,0.7027027027027027,0.7325905292479109,0.7176466159753068,0.11926605504587157,0.7027027027027027,0.20392156862745098,0.8100956109312656,0.2289264104740966,0.17391411117965638,0.33279158684258525
test,probability_ensemble,Tinea,0.5,31,724,19,140,584,12,0.6129032258064516,0.8066298342541437,0.7097665300302977,0.11949685534591195,0.6129032258064516,0.2,0.7958474425236143,0.15021152967906762,0.13293225124549538,0.25573034938406325
test,probability_ensemble,Herpes Zoster,0.5,21,734,14,78,656,7,0.6666666666666666,0.8937329700272479,0.7801998183469573,0.15217391304347827,0.6666666666666666,0.24778761061946902,0.8972362787076683,0.31165906688464057,0.08074572076351905,0.1775322685513448
test,probability_ensemble,Drug Rash,0.5,22,733,13,95,638,9,0.5909090909090909,0.8703956343792633,0.7306523626441771,0.12037037037037036,0.5909090909090909,0.2,0.8264913803795114,0.3054339009011923,0.10409732932094888,0.2329038734995569
test,probability_ensemble,Herpes Simplex,0.5,21,734,19,72,662,2,0.9047619047619048,0.9019073569482289,0.9033346308550668,0.2087912087912088,0.9047619047619048,0.3392857142857143,0.966394187102634,0.4899418601314283,0.07198062818054284,0.1663837718501199
test,probability_ensemble,Impetigo,0.5,18,737,9,85,652,9,0.5,0.8846675712347354,0.6923337856173677,0.09574468085106383,0.5,0.16071428571428573,0.7812452887079753,0.13464837269674218,0.09630743586894047,0.20224534243598133
test,probability_ensemble,Acute Dermatitis NOS,0.5,19,736,12,143,593,7,0.631578947368421,0.8057065217391305,0.7186427345537758,0.07741935483870968,0.631578947368421,0.13793103448275862,0.8202588672768878,0.15784576742729084,0.13081301868482598,0.25586579586780134
test,probability_ensemble,Hypersensitivity,0.5,17,738,11,131,607,6,0.6470588235294118,0.8224932249322493,0.7347760242308305,0.07746478873239436,0.6470588235294118,0.13836477987421383,0.8329347999362346,0.21886069231190583,0.1164449089628448,0.24335979820784204
test,probability_ensemble,Acne,0.5,15,740,12,43,697,3,0.8,0.9418918918918919,0.870945945945946,0.21818181818181817,0.8,0.34285714285714286,0.9638738738738739,0.5539383198808355,0.04436850231440186,0.11311039755453925
test,probability_ensemble,Pigmented Purpuric Eruption,0.5,15,740,14,49,691,1,0.9333333333333333,0.9337837837837838,0.9335585585585586,0.2222222222222222,0.9333333333333333,0.358974358974359,0.9797297297297297,0.5416397174110423,0.0514864782606734,0.1271811783514047
test,probability_ensemble,Leukocytoclastic Vasculitis,0.5,15,740,7,50,690,8,0.4666666666666667,0.9324324324324325,0.6995495495495496,0.12280701754385964,0.4666666666666667,0.19444444444444445,0.8263963963963964,0.19245024628653576,0.05962193417268009,0.13173251367917294
test,probability_ensemble,Lichen Planus Lichenoid Eruption,0.5,14,741,4,50,691,10,0.2857142857142857,0.9325236167341431,0.6091189512242143,0.07407407407407407,0.2857142857142857,0.11764705882352941,0.799305957200694,0.16165251754338553,0.06029168613510788,0.1393308004454882
test,probability_ensemble,Pityriasis Rosea,0.5,12,743,5,35,708,7,0.4166666666666667,0.9528936742934051,0.6847801704800359,0.125,0.4166666666666667,0.19230769230769232,0.8919919246298789,0.2355366786362009,0.04607455012646848,0.11482905399006488
test,probability_ensemble,Viral Exanthem,0.5,13,742,6,60,682,7,0.46153846153846156,0.9191374663072777,0.6903379639228696,0.09090909090909091,0.46153846153846156,0.1518987341772152,0.7673647107609373,0.13289206175776458,0.06384548083951276,0.13285537437395503
test,probability_ensemble,Lichen Simplex Chronicus,0.5,11,744,3,44,700,8,0.2727272727272727,0.9408602150537635,0.6067937438905181,0.06382978723404255,0.2727272727272727,0.10344827586206896,0.8790322580645162,0.07855992383660704,0.054931483337766124,0.14062495063447591
test,probability_ensemble,Stasis Dermatitis,0.5,11,744,8,44,700,3,0.7272727272727273,0.9408602150537635,0.8340664711632454,0.15384615384615385,0.7272727272727273,0.25396825396825395,0.9505131964809383,0.45121200559306157,0.04250866913598465,0.10162154283534905
test,probability_ensemble,Keratosis Pilaris,0.5,9,746,8,50,696,1,0.8888888888888888,0.9329758713136729,0.9109323801012809,0.13793103448275862,0.8888888888888888,0.23880597014925373,0.9544235924932976,0.20732562742017868,0.05053554866017798,0.11989682831964144
test,probability_ensemble,CD - Contact Dermatitis,0.5,11,744,3,85,659,8,0.2727272727272727,0.885752688172043,0.5792399804496579,0.03409090909090909,0.2727272727272727,0.06060606060606061,0.6717986314760508,0.028153351878223525,0.09664885327504026,0.22325731443793248
test,probability_ensemble,Scabies,0.5,9,746,3,61,685,6,0.3333333333333333,0.9182305630026809,0.6257819481680071,0.046875,0.3333333333333333,0.0821917808219178,0.774798927613941,0.17290700757794505,0.05758927909751961,0.1334803941759006
