model_id,encoder,classifier,label,label_slug,test_positives,test_prevalence,roc_auc,pr_auc,roc_auc_ci_95_lower,roc_auc_ci_95_upper
bit50__knn,bit50,knn,Stasis Dermatitis,stasis_dermatitis,11,0.014666666666666666,0.7592569811784967,0.16788845317162587,,
bit50__knn,bit50,knn,Keratosis Pilaris,keratosis_pilaris,9,0.012,0.5596791123106912,0.068018779342723,,
bit50__knn,bit50,knn,CD - Contact Dermatitis,cd_contact_dermatitis,11,0.014666666666666666,0.5129167179234838,0.015759876487149216,,
bit50__knn,bit50,knn,Scabies,scabies,9,0.012,0.451417004048583,0.012,,
bit50__logistic,bit50,logistic,Eczema,eczema,157,0.20933333333333334,0.5716050310952622,0.25131765177893134,,
bit50__logistic,bit50,logistic,Allergic Contact Dermatitis,allergic_contact_dermatitis,130,0.17333333333333334,0.6247022332506204,0.23316955904002518,,
bit50__logistic,bit50,logistic,Insect Bite,insect_bite,60,0.08,0.6604830917874397,0.1290136154208944,,
bit50__logistic,bit50,logistic,Urticaria,urticaria,50,0.06666666666666667,0.6994857142857143,0.16945599775553685,,
bit50__logistic,bit50,logistic,Psoriasis,psoriasis,46,0.06133333333333333,0.6069664031620553,0.09464902019553756,,
bit50__logistic,bit50,logistic,Folliculitis,folliculitis,40,0.05333333333333334,0.7317605633802817,0.14449403626833987,,
bit50__logistic,bit50,logistic,Irritant Contact Dermatitis,irritant_contact_dermatitis,37,0.04933333333333333,0.5676812857738525,0.07968490434877899,,
bit50__logistic,bit50,logistic,Tinea,tinea,31,0.04133333333333333,0.6246579030014805,0.0845131900401832,,
bit50__logistic,bit50,logistic,Herpes Zoster,herpes_zoster,21,0.028,0.836501404402639,0.15000029381308835,,
bit50__logistic,bit50,logistic,Drug Rash,drug_rash,22,0.029333333333333333,0.675387112887113,0.10852664329141422,,
bit50__logistic,bit50,logistic,Herpes Simplex,herpes_simplex,20,0.02666666666666667,0.7522602739726028,0.10442678160205655,,
