model_id,encoder,classifier,target_positive_cases,k,metric,estimate,ci_95_lower,ci_95_upper
inception_v3__gradient_boosting,inception_v3,gradient_boosting,398,1,recall_at_k,0.15100502512562813,,
inception_v3__gradient_boosting,inception_v3,gradient_boosting,398,1,precision_at_k,0.2964824120603015,,
inception_v3__gradient_boosting,inception_v3,gradient_boosting,398,3,hit_rate,0.6331658291457286,,
inception_v3__gradient_boosting,inception_v3,gradient_boosting,398,3,recall_at_k,0.3998743718592964,,
inception_v3__gradient_boosting,inception_v3,gradient_boosting,398,3,precision_at_k,0.2780569514237856,,
inception_v3__gradient_boosting,inception_v3,gradient_boosting,398,5,hit_rate,0.7286432160804021,,
inception_v3__gradient_boosting,inception_v3,gradient_boosting,398,5,recall_at_k,0.5434254606365159,,
inception_v3__gradient_boosting,inception_v3,gradient_boosting,398,5,precision_at_k,0.22663316582914575,,
inception_v3__knn,inception_v3,knn,398,1,hit_rate,0.3417085427135678,,
inception_v3__knn,inception_v3,knn,398,1,recall_at_k,0.16637353433835847,,
inception_v3__knn,inception_v3,knn,398,1,precision_at_k,0.3417085427135678,,
inception_v3__knn,inception_v3,knn,398,3,hit_rate,0.6030150753768844,,
inception_v3__knn,inception_v3,knn,398,3,recall_at_k,0.3937604690117253,,
inception_v3__knn,inception_v3,knn,398,3,precision_at_k,0.2721943048576214,,
inception_v3__knn,inception_v3,knn,398,5,hit_rate,0.7185929648241206,,
inception_v3__knn,inception_v3,knn,398,5,recall_at_k,0.5227805695142378,,
inception_v3__knn,inception_v3,knn,398,5,precision_at_k,0.21256281407035177,,
inception_v3__logistic,inception_v3,logistic,398,1,hit_rate,0.2964824120603015,,
inception_v3__logistic,inception_v3,logistic,398,1,recall_at_k,0.1507118927973199,,
inception_v3__logistic,inception_v3,logistic,398,1,precision_at_k,0.2964824120603015,,
inception_v3__logistic,inception_v3,logistic,398,3,hit_rate,0.535175879396985,,
inception_v3__logistic,inception_v3,logistic,398,3,recall_at_k,0.3302763819095477,,
inception_v3__logistic,inception_v3,logistic,398,3,precision_at_k,0.228643216080402,,
inception_v3__logistic,inception_v3,logistic,398,5,hit_rate,0.6733668341708543,,
inception_v3__logistic,inception_v3,logistic,398,5,recall_at_k,0.44288107202680066,,
inception_v3__logistic,inception_v3,logistic,398,5,precision_at_k,0.18291457286432156,,
inception_v3__mil,inception_v3,mil,398,1,hit_rate,0.12562814070351758,,
inception_v3__mil,inception_v3,mil,398,1,recall_at_k,0.06926298157453936,,
inception_v3__mil,inception_v3,mil,398,1,precision_at_k,0.12562814070351758,,
inception_v3__mil,inception_v3,mil,398,3,hit_rate,0.3391959798994975,,
inception_v3__mil,inception_v3,mil,398,3,recall_at_k,0.20749581239530987,,
inception_v3__mil,inception_v3,mil,398,3,precision_at_k,0.13567839195979897,,
inception_v3__mil,inception_v3,mil,398,5,hit_rate,0.507537688442211,,
inception_v3__mil,inception_v3,mil,398,5,recall_at_k,0.3311139028475712,,
inception_v3__mil,inception_v3,mil,398,5,precision_at_k,0.1306532663316583,,
inception_v3__random_forest,inception_v3,random_forest,398,1,hit_rate,0.41959798994974873,,
inception_v3__random_forest,inception_v3,random_forest,398,1,recall_at_k,0.19945561139028473,,
inception_v3__random_forest,inception_v3,random_forest,398,1,precision_at_k,0.41959798994974873,,
inception_v3__random_forest,inception_v3,random_forest,398,3,hit_rate,0.6959798994974874,,
inception_v3__random_forest,inception_v3,random_forest,398,3,recall_at_k,0.4541876046901172,,
inception_v3__random_forest,inception_v3,random_forest,398,3,precision_at_k,0.314070351758794,,
inception_v3__random_forest,inception_v3,random_forest,398,5,hit_rate,0.7839195979899497,,
inception_v3__random_forest,inception_v3,random_forest,398,5,recall_at_k,0.6119765494137354,,
inception_v3__random_forest,inception_v3,random_forest,398,5,precision_at_k,0.24974874371859299,,
inception_v3__svm_linear,inception_v3,svm_linear,398,1,hit_rate,0.40703517587939697,,
inception_v3__svm_linear,inception_v3,svm_linear,398,1,recall_at_k,0.2007118927973199,,
inception_v3__svm_linear,inception_v3,svm_linear,398,1,precision_at_k,0.40703517587939697,,
inception_v3__svm_linear,inception_v3,svm_linear,398,3,hit_rate,0.6683417085427136,,
