job_id,machine,agent,command,git_commit,config_sha256,dataset_sha256,split_sha256,started_at,finished_at,status,artifact_revision,notes
train_classical-20260918T172913-24fd5475,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder bit50 --classifier gradient_boosting --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,94c520157f48f93ed403691f6889485c83c10c515eec8cc9cccc602502a34d26,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T11:59:13.391527+00:00,2026-09-18T11:59:33.607054+00:00,complete,55b4e8661b8f5f13526c1825e08e6b97a787e61907a3b354b5ac317894b803f4,
train_classical-20260918T172934-3b00f716,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder bit50 --classifier knn --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,5718da9f4dfa864229dfd0d84b4df7eebd72b31904ff220cb639420d41efbd5b,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T11:59:34.994711+00:00,2026-09-18T11:59:37.676059+00:00,complete,e3f4ea1820d5a981bd7609f274506ee1767e48a816d833a1d31ce2a710d2e3ab,
train_classical-20260918T172939-9a6767be,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder vit_base --classifier logistic --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,0c1f3cc7a90e4954d10c7525c0be86216bbf9229bb73ba3609bbee5158f21f74,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T11:59:39.029685+00:00,2026-09-18T11:59:40.879206+00:00,complete,96fbbbb983166556ec46e17d08428b6bdc719873c61df5712bb26747cbfccaaf,
train_classical-20260918T172942-0e72ba20,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder vit_base --classifier svm_linear --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,a46960c8ff168ab18b1dbb03d5e857131792b78fdc7ed465db12a527b2df54e6,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T11:59:42.286402+00:00,2026-09-18T11:59:44.399138+00:00,complete,d878250a54d6a2a962205b5f9981146169392446f4302e5fdb0882da71823697,
train_classical-20260918T172945-26016c73,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder vit_base --classifier random_forest --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,86cae4e8b3ef44af60f613c20198cee6b8b81544a91f53545071343cb5afca78,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T11:59:45.791793+00:00,2026-09-18T11:59:56.533765+00:00,complete,912630f49a21f76efe102db8934665fb6e342fc6eb179c4d47cd66c45a6903a8,
train_classical-20260918T172957-a70a78e8,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder vit_base --classifier gradient_boosting --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,5800115d15648ffc8de27e88d98cd5185990ab2fe6252485f3dcfa0b5adc7460,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T11:59:57.949526+00:00,2026-09-18T12:00:07.924828+00:00,complete,e1fc9089460c4c692a5a347a89d4f1262d2171c6aba414c0e93ccc81158ba10d,
train_classical-20260918T173009-14cb19d5,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder vit_base --classifier knn --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,4b0660c0d6b2b9c156f1abe055766cd805ef01d2a4c84f6f62e22cb32315497e,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T12:00:09.318879+00:00,2026-09-18T12:00:11.489512+00:00,complete,7d8fc3e9030b44df129d7fbb84554964ee65683dc187d5b69c44432180d81580,
train_classical-20260918T173012-aad3dd25,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder clip_vitb32 --classifier logistic --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,4a1eda95cec0834a8ab03643d7cc4b469ffe5c405b9222b7d65d2cfe2e299dc3,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T12:00:12.875475+00:00,2026-09-18T12:00:14.716693+00:00,complete,09cae69e707f6f6d68ed58cbd352eb8a626ac016576d3c1b41bef7d1f1bba413,
train_classical-20260918T173016-3b685d4a,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder clip_vitb32 --classifier svm_linear --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,c6b657d97cf5cf17ba8042bac62f792456f3ce6e468952d97a295f80769d01c5,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T12:00:16.084967+00:00,2026-09-18T12:00:18.230320+00:00,complete,9d1d5e8f8670b4a53e3ad1f33616004bc84babdf2020f1e7cddfcfb7c57405fe,
train_classical-20260918T173019-7b96c034,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder clip_vitb32 --classifier random_forest --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,430c8a241800b7b070d609bd3e8e946083d6d443f1a889de0306efa2626e6f6f,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T12:00:19.593613+00:00,2026-09-18T12:00:30.180694+00:00,complete,27fa796c2a39c411a976c9284c4ce6a86a404fd89f8bf5ddd9ae8ecc9d600ad7,
train_classical-20260918T173031-ed5a521d,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder clip_vitb32 --classifier gradient_boosting --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,dca1e3cbd217e8d4baf10cb8e5890f7363728d85277ab24aa5d34fedd2b6378b,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T12:00:31.634764+00:00,2026-09-18T12:00:39.762840+00:00,complete,6c37735d99f820e32b644b5b9734836c208921a775cc19dee2c34d226718e515,
train_classical-20260918T173041-7f937c84,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder clip_vitb32 --classifier knn --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,e5c4df9a2c6bc56e48d31b230dea4432d73c74f8929de5231fd6320b7eb52517,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T12:00:41.170815+00:00,2026-09-18T12:00:43.204865+00:00,complete,7b123d6ae76afec29ed36d620224201bc81288f101a9c286399506c9570bdd99,
train_classical-20260918T173044-24de04c5,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder derm_foundation --classifier logistic --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,0db37e7a0f3dd95ce2c18282b0aae4285f2196a1c2265fac2711eb3944830c89,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T12:00:44.840607+00:00,2026-09-18T12:00:47.396782+00:00,complete,b4ccb0f595e1063296a5abee66806bac819a5361af4aebaf8060de5fe6401d8c,
train_classical-20260918T173048-aa3cbde0,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder derm_foundation --classifier svm_linear --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,cbc0d5a8e76b285652050db5755e1a388482958fb80cd42447a00ab63063e79d,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T12:00:48.759794+00:00,2026-09-18T12:00:51.586805+00:00,complete,4bca41770f956d4264ca8e8b81414d9ba1fc927c1f36a299c0aa0e41a63af303,
train_classical-20260918T173053-a0f2a253,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder derm_foundation --classifier random_forest --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,3b8b6ac580902d4c359bcf11f244538005a40cdf5d2cf9dce98116599a67679c,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T12:00:53.124782+00:00,2026-09-18T12:01:04.080364+00:00,complete,ac7f93df7fb0c28533149c2dbe95cda478be7db75f728fc103a25aac863a3566,
