encoder,seed,split,label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
siglip2_so400m,42,train,Leukocytoclastic Vasculitis,0.5,1,18,1,16,2,0,1.0,0.1111111111111111,0.5555555555555556,0.0588235294117647,1.0,0.1111111111111111,1.0,1.0,0.2932029193176929,0.50448697491696
siglip2_so400m,42,train,Lichen Planus Lichenoid Eruption,0.5,3,16,1,1,15,2,0.3333333333333333,0.9375,0.6354166666666666,0.5,0.3333333333333333,0.4,0.6875,0.4513888888888888,0.2212758685995467,0.3049413499079252
siglip2_so400m,42,train,Pityriasis Rosea,0.5,1,18,1,1,17,0,1.0,0.9444444444444444,0.9722222222222222,0.5,1.0,0.6666666666666666,1.0,1.0,0.1913432376557923,0.3921137107046027
siglip2_so400m,42,train,Viral Exanthem,0.5,2,17,0,0,17,2,0.0,1.0,0.5,0.0,0.0,0.0,0.8529411764705882,0.6428571428571428,0.1995136760346888,0.3341466941331562
siglip2_so400m,42,train,Lichen Simplex Chronicus,0.5,1,18,1,2,16,0,1.0,0.8888888888888888,0.9444444444444444,0.3333333333333333,1.0,0.5,1.0,1.0,0.2046742245692751,0.4508585773016276
siglip2_so400m,42,train,Stasis Dermatitis,0.5,1,18,1,18,0,0,1.0,0.0,0.5,0.0526315789473684,1.0,0.1,1.0,1.0,0.3137022954524989,0.553306105889772
siglip2_so400m,42,train,Keratosis Pilaris,0.5,1,18,1,1,17,0,1.0,0.9444444444444444,0.9722222222222222,0.5,1.0,0.6666666666666666,1.0,1.0,0.1776987121730273,0.3745079056212776
siglip2_so400m,42,train,CD - Contact Dermatitis,0.5,1,18,1,10,8,0,1.0,0.4444444444444444,0.7222222222222222,0.0909090909090909,1.0,0.1666666666666666,1.0,1.0,0.2460765903957706,0.4943796553109821
siglip2_so400m,42,train,Scabies,0.5,2,17,0,0,17,2,0.0,1.0,0.5,0.0,0.0,0.0,0.9411764705882352,0.75,0.1979715890936085,0.331309006402367
siglip2_so400m,42,validation,Eczema,0.5,1,2,1,2,0,0,1.0,0.0,0.5,0.3333333333333333,1.0,0.5,1.0,1.0,0.2707129753951444,0.2407538692156474
siglip2_so400m,42,validation,Allergic Contact Dermatitis,0.5,1,2,1,2,0,0,1.0,0.0,0.5,0.3333333333333333,1.0,0.5,0.0,0.3333333333333333,0.257722961196882,0.1742721597353617
siglip2_so400m,42,validation,Insect Bite,0.5,1,2,1,2,0,0,1.0,0.0,0.5,0.3333333333333333,1.0,0.5,0.5,0.5,0.2658080251899572,0.2152195374170939
siglip2_so400m,42,validation,Urticaria,0.5,0,3,0,1,2,0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,,,0.2264539571082671,0.4749332070350647
siglip2_so400m,42,validation,Psoriasis,0.5,1,2,1,2,0,0,1.0,0.0,0.5,0.3333333333333333,1.0,0.5,1.0,1.0,0.2518444240099668,0.2107857267061869
siglip2_so400m,42,validation,Folliculitis,0.5,0,3,0,2,1,0,,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,,,0.2643786485566071,0.513924370209376
siglip2_so400m,42,validation,Irritant Contact Dermatitis,0.5,0,3,0,2,1,0,,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,,,0.2478828873328412,0.4971457322438557
siglip2_so400m,42,validation,Tinea,0.5,0,3,0,0,3,0,,1.0,1.0,0.0,0.0,0.0,,,0.1944355585547243,0.4405131042003631
siglip2_so400m,42,validation,Herpes Zoster,0.5,1,2,0,1,1,1,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.3333333333333333,0.2572764907762231,0.182411253452301
siglip2_so400m,42,validation,Drug Rash,0.5,0,3,0,0,3,0,,1.0,1.0,0.0,0.0,0.0,,,0.1639243089661321,0.404344896475474
siglip2_so400m,42,validation,Herpes Simplex,0.5,0,3,0,1,2,0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,,,0.2427334458805131,0.4923872351646423
siglip2_so400m,42,validation,Impetigo,0.5,1,2,1,2,0,0,1.0,0.0,0.5,0.3333333333333333,1.0,0.5,0.0,0.3333333333333333,0.2624882130839718,0.1836508313814799
siglip2_so400m,42,validation,Acute Dermatitis NOS,0.5,0,3,0,1,2,0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,,,0.2318400031724462,0.4806243777275085
siglip2_so400m,42,validation,Hypersensitivity,0.5,0,3,0,1,2,0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,,,0.2258204561027633,0.4738379518191019
siglip2_so400m,42,validation,Acne,0.5,1,2,0,0,2,1,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.2041018449092676,0.1754621863365173
siglip2_so400m,42,validation,Pigmented Purpuric Eruption,0.5,0,3,0,2,1,0,,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,,,0.2527298251849952,0.5025487244129181
siglip2_so400m,42,validation,Leukocytoclastic Vasculitis,0.5,0,3,0,3,0,0,,0.0,0.0,0.0,0.0,0.0,,,0.3024759056993886,0.5497649908065796
siglip2_so400m,42,validation,Lichen Planus Lichenoid Eruption,0.5,1,2,0,0,2,1,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.2244741650779658,0.136154959599177
siglip2_so400m,42,validation,Pityriasis Rosea,0.5,0,3,0,0,3,0,,1.0,1.0,0.0,0.0,0.0,,,0.1937710560276773,0.4396759271621704
siglip2_so400m,42,validation,Viral Exanthem,0.5,0,3,0,0,3,0,,1.0,1.0,0.0,0.0,0.0,,,0.1944159579937882,0.4408471584320068
siglip2_so400m,42,validation,Lichen Simplex Chronicus,0.5,1,2,0,1,1,1,0.0,0.5,0.25,0.0,0.0,0.0,0.5,0.5,0.2532246273256649,0.1899034182230631
siglip2_so400m,42,validation,Stasis Dermatitis,0.5,0,3,0,3,0,0,,0.0,0.0,0.0,0.0,0.0,,,0.3526319779926498,0.5926042000452677
siglip2_so400m,42,validation,Keratosis Pilaris,0.5,0,3,0,0,3,0,,1.0,1.0,0.0,0.0,0.0,,,0.1675460367100963,0.4081417421499888
siglip2_so400m,42,validation,CD - Contact Dermatitis,0.5,0,3,0,1,2,0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,,,0.2279960228443349,0.4765625198682149
siglip2_so400m,42,validation,Scabies,0.5,0,3,0,0,3,0,,1.0,1.0,0.0,0.0,0.0,,,0.1927210303216478,0.4388392865657806
siglip2_so400m,43,test,Eczema,0.5,2,4,2,4,0,0,1.0,0.0,0.5,0.3333333333333333,1.0,0.5,0.625,0.5,0.2605545310175425,0.190477708975474
siglip2_so400m,43,test,Allergic Contact Dermatitis,0.5,1,5,1,4,1,0,1.0,0.2,0.6,0.2,1.0,0.3333333333333333,0.6,0.3333333333333333,0.2642975075656118,0.3575473179419835
siglip2_so400m,43,test,Insect Bite,0.5,2,4,1,3,1,1,0.5,0.25,0.375,0.25,0.5,0.3333333333333333,0.5,0.45,0.2664447583669271,0.1942350665728251
siglip2_so400m,43,test,Urticaria,0.5,1,5,1,5,0,0,1.0,0.0,0.5,0.1666666666666666,1.0,0.2857142857142857,1.0,1.0,0.2929957956525009,0.536855439345042
siglip2_so400m,43,test,Psoriasis,0.5,1,5,0,2,3,1,0.0,0.6,0.3,0.0,0.0,0.0,0.6,0.3333333333333333,0.2523949150582865,0.3322195609410603
siglip2_so400m,43,test,Folliculitis,0.5,1,5,1,5,0,0,1.0,0.0,0.5,0.1666666666666666,1.0,0.2857142857142857,0.4,0.25,0.3721988970824069,0.4819238384564718
siglip2_so400m,43,test,Irritant Contact Dermatitis,0.5,1,5,0,1,4,1,0.0,0.8,0.4,0.0,0.0,0.0,0.8,0.5,0.23107114800368,0.3128360460201899
siglip2_so400m,43,test,Tinea,0.5,1,5,1,5,0,0,1.0,0.0,0.5,0.1666666666666666,1.0,0.2857142857142857,0.6,0.3333333333333333,0.3250214487152411,0.4329526225725809
siglip2_so400m,43,test,Herpes Zoster,0.5,0,6,0,0,6,0,,1.0,1.0,0.0,0.0,0.0,,,0.226153574674007,0.4752728044986725
siglip2_so400m,43,test,Drug Rash,0.5,2,4,2,4,0,0,1.0,0.0,0.5,0.3333333333333333,1.0,0.5,0.875,0.8333333333333333,0.2798292624542509,0.2611255844434102
siglip2_so400m,43,test,Herpes Simplex,0.5,1,5,1,2,3,0,1.0,0.6,0.8,0.3333333333333333,1.0,0.5,0.6,0.3333333333333333,0.2398225948150649,0.3223590155442556
siglip2_so400m,43,test,Impetigo,0.5,1,5,0,0,5,1,0.0,1.0,0.5,0.0,0.0,0.0,0.8,0.5,0.2130348387738515,0.2775374551614126
siglip2_so400m,43,test,Acute Dermatitis NOS,0.5,1,5,0,1,4,1,0.0,0.8,0.4,0.0,0.0,0.0,0.6,0.3333333333333333,0.2385287547123355,0.3152062147855758
siglip2_so400m,43,test,Hypersensitivity,0.5,1,5,0,1,4,1,0.0,0.8,0.4,0.0,0.0,0.0,0.6,0.3333333333333333,0.2360927834482119,0.3073567152023315
siglip2_so400m,43,test,Acne,0.5,0,6,0,6,0,0,,0.0,0.0,0.0,0.0,0.0,,,0.2967744931232345,0.5439319014549255
siglip2_so400m,43,test,Pigmented Purpuric Eruption,0.5,1,5,1,5,0,0,1.0,0.0,0.5,0.1666666666666666,1.0,0.2857142857142857,0.0,0.1666666666666666,0.3163216702069261,0.411660224199295
siglip2_so400m,43,test,Leukocytoclastic Vasculitis,0.5,2,4,1,1,3,1,0.5,0.75,0.625,0.5,0.5,0.5,0.75,0.5833333333333333,0.2639310293145889,0.3439907828966776
siglip2_so400m,43,test,Lichen Planus Lichenoid Eruption,0.5,0,6,0,0,6,0,,1.0,1.0,0.0,0.0,0.0,,,0.2202664869628482,0.4691656827926636
siglip2_so400m,43,test,Pityriasis Rosea,0.5,1,5,1,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2021834542760342,0.448217769463857
siglip2_so400m,43,test,Viral Exanthem,0.5,1,5,1,5,0,0,1.0,0.0,0.5,0.1666666666666666,1.0,0.2857142857142857,0.1999999999999999,0.2,0.2899876453636014,0.3752789696057638
siglip2_so400m,43,test,Lichen Simplex Chronicus,0.5,0,6,0,6,0,0,,0.0,0.0,0.0,0.0,0.0,,,0.320725513501151,0.5650244454542795
siglip2_so400m,43,test,Stasis Dermatitis,0.5,1,5,0,1,4,1,0.0,0.8,0.4,0.0,0.0,0.0,0.1999999999999999,0.2,0.2428416647889592,0.3118564039468765
siglip2_so400m,43,test,Keratosis Pilaris,0.5,1,5,1,2,3,0,1.0,0.6,0.8,0.3333333333333333,1.0,0.5,1.0,1.0,0.2425367459175547,0.3350923856099447
siglip2_so400m,43,test,CD - Contact Dermatitis,0.5,1,5,1,5,0,0,1.0,0.0,0.5,0.1666666666666666,1.0,0.2857142857142857,0.1999999999999999,0.2,0.3201829935266638,0.4191763500372569
siglip2_so400m,43,test,Scabies,0.5,1,5,0,0,5,1,0.0,1.0,0.5,0.0,0.0,0.0,0.4,0.25,0.222665389211279,0.2869874139626821
siglip2_so400m,43,train,Eczema,0.5,7,12,7,12,0,0,1.0,0.0,0.5,0.3684210526315789,1.0,0.5384615384615384,0.6071428571428572,0.5380443086325439,0.2547772492216551,0.1543774855764288
siglip2_so400m,43,train,Allergic Contact Dermatitis,0.5,3,16,2,12,4,1,0.6666666666666666,0.25,0.4583333333333333,0.1428571428571428,0.6666666666666666,0.2352941176470588,0.6666666666666666,0.4477124183006535,0.2557314666257508,0.3529850966052005
siglip2_so400m,43,train,Insect Bite,0.5,1,18,1,12,6,0,1.0,0.3333333333333333,0.6666666666666666,0.0769230769230769,1.0,0.1428571428571428,1.0,1.0,0.2511481993706532,0.4989591585962395
siglip2_so400m,43,train,Urticaria,0.5,2,17,2,17,0,0,1.0,0.0,0.5,0.1052631578947368,1.0,0.1904761904761904,1.0,1.0,0.2928606955368547,0.495828722652636
siglip2_so400m,43,train,Psoriasis,0.5,3,16,1,5,11,2,0.3333333333333333,0.6875,0.5104166666666666,0.1666666666666666,0.3333333333333333,0.2222222222222222,0.6875,0.3409090909090909,0.2414385747576211,0.3351236770027562
siglip2_so400m,43,train,Folliculitis,0.5,2,17,2,17,0,0,1.0,0.0,0.5,0.1052631578947368,1.0,0.1904761904761904,1.0,1.0,0.3597184846390406,0.5579502237470526
siglip2_so400m,43,train,Irritant Contact Dermatitis,0.5,2,17,2,1,16,0,1.0,0.9411764705882352,0.9705882352941176,0.6666666666666666,1.0,0.8,0.9705882352941176,0.8333333333333333,0.2204184087306473,0.4152901047154476
siglip2_so400m,43,train,Tinea,0.5,1,18,1,18,0,0,1.0,0.0,0.5,0.0526315789473684,1.0,0.1,1.0,1.0,0.3478286724322155,0.5846326194311442
siglip2_so400m,43,train,Herpes Zoster,0.5,2,17,1,3,14,1,0.5,0.8235294117647058,0.6617647058823529,0.25,0.5,0.3333333333333333,0.8235294117647058,0.325,0.219332427957319,0.3621233074288619
siglip2_so400m,43,train,Drug Rash,0.5,4,15,4,15,0,0,1.0,0.0,0.5,0.2105263157894736,1.0,0.3478260869565217,0.7166666666666667,0.35625,0.3069379689609938,0.38091232274708
siglip2_so400m,43,train,Herpes Simplex,0.5,1,18,1,8,10,0,1.0,0.5555555555555556,0.7777777777777778,0.1111111111111111,1.0,0.2,1.0,1.0,0.2280504001471854,0.4741664419048711
siglip2_so400m,43,train,Impetigo,0.5,1,18,1,0,18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1953557291055298,0.4407005937475907
siglip2_so400m,43,train,Acute Dermatitis NOS,0.5,3,16,3,6,10,0,1.0,0.625,0.8125,0.3333333333333333,1.0,0.5,0.7708333333333334,0.3373015873015872,0.2401562440734571,0.3379171365185787
siglip2_so400m,43,train,Hypersensitivity,0.5,1,18,1,4,14,0,1.0,0.7777777777777778,0.8888888888888888,0.2,1.0,0.3333333333333333,1.0,1.0,0.2029541399431641,0.4486240023060848
siglip2_so400m,43,train,Acne,0.5,1,18,1,16,2,0,1.0,0.1111111111111111,0.5555555555555556,0.0588235294117647,1.0,0.1111111111111111,1.0,1.0,0.2905753166175444,0.5019581349272477
siglip2_so400m,43,train,Pigmented Purpuric Eruption,0.5,1,18,1,18,0,0,1.0,0.0,0.5,0.0526315789473684,1.0,0.1,1.0,1.0,0.3178405592339232,0.5276012828475551
siglip2_so400m,43,train,Leukocytoclastic Vasculitis,0.5,1,18,1,11,7,0,1.0,0.3888888888888889,0.6944444444444444,0.0833333333333333,1.0,0.1538461538461538,1.0,1.0,0.2492385525671545,0.4963437679566835
siglip2_so400m,43,train,Lichen Planus Lichenoid Eruption,0.5,3,16,0,0,16,3,0.0,1.0,0.5,0.0,0.0,0.0,0.8125,0.4249999999999999,0.2112100504476108,0.2907190934607857
siglip2_so400m,43,train,Pityriasis Rosea,0.5,1,18,1,2,16,0,1.0,0.8888888888888888,0.9444444444444444,0.3333333333333333,1.0,0.5,1.0,1.0,0.2013454899346551,0.4025741282262299
siglip2_so400m,43,train,Viral Exanthem,0.5,2,17,2,16,1,0,1.0,0.0588235294117647,0.5294117647058824,0.1111111111111111,1.0,0.2,1.0,1.0,0.2834694865308644,0.4419276133963936
siglip2_so400m,43,train,Lichen Simplex Chronicus,0.5,1,18,1,14,4,0,1.0,0.2222222222222222,0.6111111111111112,0.0666666666666666,1.0,0.125,1.0,1.0,0.285131529210931,0.527016746370416
siglip2_so400m,43,train,Stasis Dermatitis,0.5,1,18,1,5,13,0,1.0,0.7222222222222222,0.8611111111111112,0.1666666666666666,1.0,0.2857142857142857,1.0,1.0,0.2364077571246163,0.4839164520564832
siglip2_so400m,43,train,Keratosis Pilaris,0.5,1,18,1,4,14,0,1.0,0.7777777777777778,0.8888888888888888,0.2,1.0,0.3333333333333333,1.0,1.0,0.2255324886890122,0.4732901579455325
siglip2_so400m,43,train,CD - Contact Dermatitis,0.5,1,18,1,17,1,0,1.0,0.0555555555555555,0.5277777777777778,0.0555555555555555,1.0,0.1052631578947368,1.0,1.0,0.3183049322322889,0.5590067223498696
siglip2_so400m,43,train,Scabies,0.5,2,17,1,0,17,1,0.5,1.0,0.75,1.0,0.5,0.6666666666666666,0.9705882352941176,0.8333333333333333,0.2068205246061726,0.4003589561111049
siglip2_so400m,43,validation,Eczema,0.5,1,2,1,2,0,0,1.0,0.0,0.5,0.3333333333333333,1.0,0.5,0.5,0.5,0.2624927456927217,0.1884487072626749
